Brand,Category,score_Jan,score_Feb,score_Mar,score_Apr,score_May,score_Jun,score_Jul,score_Aug,score_Sep,score_Oct,score_Nov,score_Dec
A1,Airline,68.0055,70.44385,70.45925,69.9296,69.5197,68.84435,67.81705,69.56525,71.279,70.40135,70.7608,70.51045
A2,Airline,60.2028,66.8741,65.9739,53.7329,65.73035,64.842,64.6316,66.69975,54.05495,65.42375,46.76895,64.20885
A3,Airline,51.9885,64.41935,65.1124,67.32835,67.1658,65.86045,65.45665,66.9409,64.563,64.6192,64.09055,63.3016
A4,Airline,39.4317,47.714,48.13265,58.18375,45.5791,45.3153,46.53285,57.8229,46.2556,56.8033,60.7537,60.37805
A5,Airline,65.5295,62.7181,61.64635,58.8585,57.984,57.44225,57.3408,60.79495,58.8907,58.18085,58.62055,57.92085
A6,Airline,29.1185,38.4559,39.703,35.86485,40.46385,42.49375,41.9696,43.19335,50.9999,45.94085,45.67435,45.9542
A7,Airline,30.6495,30.6505,31.731,32.091,32.3315,32.154,32.1125,31.695,31.3525,31.693,31.65,31.454
A8,Airline,17.17815,17.2092,16.31205,8.9574,0,8.0664,9.94695,10.69995,29.34835,17.57565,17.49615,16.91595
A9,Airline,14.0985,14.444,18.086,24.9202,22.47595,17.2315,16.128,15.393,14.0365,0,0,0
